id,currentSCC,previousSCC,log10cSCC,log10pSCC
1,35,52,1.54,1.72
2,171,272,2.23,2.43
3,198,162,2.3,2.21
4,262,312,2.42,2.49
5,608,664,2.78,2.82
6,2984,2572,3.47,3.41
7,45,54,1.65,1.73
8,327,707,2.51,2.85
9,668,554,2.82,2.74
10,305,3448,2.48,3.54
11,177,109,2.25,2.04
12,495,4499,2.69,3.65
13,254,239,2.4,2.38
14,2134,1476,3.33,3.17
15,938,27,2.97,1.43
16,574,1099,2.76,3.04
17,119,73,2.08,1.86
18,37,27,1.57,1.43
19,2233,108,3.35,2.03
20,891,147,2.95,2.17
21,1279,1769,3.11,3.25
22,68,31,1.83,1.49
23,149,29,2.17,1.46
24,38,34,1.58,1.53
25,19,22,1.28,1.34
26,210,483,2.32,2.68
27,39,515,1.59,2.71
28,241,1883,2.38,3.27
29,427,372,2.63,2.57
30,63,36,1.8,1.56
31,56,49,1.75,1.69
32,982,1993,2.99,3.3
33,163,111,2.21,2.05
34,182,118,2.26,2.07
35,8,17,0.9,1.23
36,182,126,2.26,2.1
37,41,30,1.61,1.48
38,85,164,1.93,2.21
39,574,419,2.76,2.62
40,148,74,2.17,1.87
41,422,1253,2.63,3.1
42,363,197,2.56,2.29
43,268,836,2.43,2.92
44,471,722,2.67,2.86
45,471,296,2.67,2.47
46,61,62,1.79,1.79
47,5861,6673,3.77,3.82
48,33,150,1.52,2.18
49,865,226,2.94,2.35
50,61,42,1.79,1.62
